5.0065 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
15.1275 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
17.4353 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A129FCA130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A12B0963D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.4354 	EXP 	window1: mouseVisible = True
17.4356 	EXP 	window1: mouseVisible = False
17.4356 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.4356 	EXP 	window1: recordFrameIntervals = False
17.6012 	EXP 	window1: recordFrameIntervals = True
17.7853 	EXP 	Screen (0) actual frame rate measured at 59.75Hz
17.7854 	EXP 	window1: recordFrameIntervals = False
22.3405 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
22.8228 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
22.8296 	EXP 	Imported C:/Users/hp/Desktop/PSY310 LAB IN PSYCH/TUT_6/conditions_file.xlsx as conditions, 7 conditions, 3 params
22.8319 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
22.8323 	EXP 	New trial (rep=0, index=0): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
23.1632 	EXP 	text: height = 0.05
23.1632 	EXP 	text: height = 0.05
23.1632 	EXP 	text: height = 0.05
23.1632 	EXP 	text: text = 'GBP 15 today or  GBP 35 after 13 days '
23.1632 	EXP 	fixation: autoDraw = True
23.8510 	EXP 	text: autoDraw = True
24.1676 	EXP 	fixation: autoDraw = False
26.6310 	EXP 	New trial (rep=0, index=1): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
26.6513 	DATA 	Keypress: l
26.6629 	EXP 	fixation: autoDraw = False
26.6629 	EXP 	text: autoDraw = False
26.6629 	EXP 	text: height = 0.05
26.6629 	EXP 	text: height = 0.05
26.6629 	EXP 	text: height = 0.05
